model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
79,32,0.3,1,True,1e-05,128,25,25,0.7981410622596741,0.643416166305542
80,32,0.3,1,True,0.0001,64,25,25,0.194617360830307,0.04923701658844948
81,32,0.3,1,True,0.0001,128,25,25,0.7294153571128845,0.6774126291275024
82,32,0.3,1,True,0.001,64,25,25,0.28180089592933655,0.14176930487155914
83,32,0.3,1,True,0.001,128,25,25,0.3306907117366791,0.1963016539812088
84,32,0.3,2,False,1e-05,64,25,25,0.6638142466545105,0.08158871531486511
85,32,0.3,2,False,1e-05,128,25,25,0.6615663170814514,0.07301779836416245
86,32,0.3,2,False,0.0001,64,25,25,0.21421277523040771,0.049952369183301926
87,32,0.3,2,False,0.0001,128,25,25,0.19701535999774933,0.037017952650785446
88,32,0.3,2,False,0.001,64,25,25,0.19684350490570068,0.06658649444580078
89,32,0.3,2,False,0.001,128,25,25,0.26412224769592285,0.11638835817575455
90,32,0.3,2,True,1e-05,64,25,25,1.1116931438446045,0.20401549339294434
91,32,0.3,2,True,1e-05,128,25,25,0.8989202976226807,0.04473678395152092
92,32,0.3,2,True,0.0001,64,25,25,0.2075180560350418,0.03937448933720589
93,32,0.3,2,True,0.0001,128,25,25,0.22027498483657837,0.04431711882352829
94,32,0.3,2,True,0.001,64,25,25,0.14241951704025269,0.030925726518034935
95,32,0.3,2,True,0.001,128,25,25,0.16411718726158142,0.044148899614810944
96,32,0.3,3,False,1e-05,64,25,25,1.1525123119354248,0.17243774235248566
97,32,0.3,3,False,1e-05,128,25,25,1.0563932657241821,0.07765748351812363
98,32,0.3,3,False,0.0001,64,25,25,0.20159368216991425,0.032910916954278946
99,32,0.3,3,False,0.0001,128,25,25,0.23235906660556793,0.05288172513246536
100,32,0.3,3,False,0.001,64,25,25,0.26628243923187256,0.1166386678814888
101,32,0.3,3,False,0.001,128,25,25,0.24088561534881592,0.08782567083835602
102,32,0.3,3,True,1e-05,64,25,25,1.3582442998886108,0.11854689568281174
103,32,0.3,3,True,1e-05,128,25,25,1.3528193235397339,0.12007187306880951
104,32,0.3,3,True,0.0001,64,25,25,0.2220626026391983,0.04322971776127815
105,32,0.3,3,True,0.0001,128,25,25,0.22227585315704346,0.04029897600412369
106,32,0.3,3,True,0.001,64,25,25,0.1594487726688385,0.03577305004000664
107,32,0.3,3,True,0.001,128,25,25,0.14331531524658203,0.028248999267816544
108,64,0.1,1,False,1e-05,64,25,25,0.252913236618042,0.07174144685268402
109,64,0.1,1,False,1e-05,128,25,25,0.5656706094741821,0.323468953371048
110,64,0.1,1,False,0.0001,64,25,25,0.30572327971458435,0.12546394765377045
111,64,0.1,1,False,0.0001,128,25,25,0.3413757383823395,0.15140900015830994
112,64,0.1,1,False,0.001,64,25,25,0.48773273825645447,0.44998812675476074
113,64,0.1,1,False,0.001,128,25,25,0.46017953753471375,0.3928343653678894
114,64,0.1,1,True,1e-05,64,25,25,0.6808149218559265,0.4235419034957886
115,64,0.1,1,True,1e-05,128,25,25,0.4395938515663147,0.20178279280662537
116,64,0.1,1,True,0.0001,64,25,25,0.17541317641735077,0.04184288904070854
117,64,0.1,1,True,0.0001,128,25,25,0.22219218313694,0.06854985654354095
118,64,0.1,1,True,0.001,64,25,25,0.30623289942741394,0.17017556726932526
119,64,0.1,1,True,0.001,128,25,25,0.29816827178001404,0.15237323939800262
120,64,0.1,2,False,1e-05,64,25,25,1.0029078722000122,0.10733762383460999
121,64,0.1,2,False,1e-05,128,25,25,0.9293040037155151,0.06430322676897049
122,64,0.1,2,False,0.0001,64,25,25,0.17911455035209656,0.033988967537879944
123,64,0.1,2,False,0.0001,128,25,25,0.16907073557376862,0.030871229246258736
124,64,0.1,2,False,0.001,64,25,25,0.18465501070022583,0.05939869210124016
125,64,0.1,2,False,0.001,128,25,25,0.3763481676578522,0.24874286353588104
126,64,0.1,2,True,1e-05,64,25,25,1.350584864616394,0.040574632585048676
127,64,0.1,2,True,1e-05,128,25,25,1.486376404762268,0.12564705312252045
128,64,0.1,2,True,0.0001,64,25,25,0.19790834188461304,0.04285740107297897
129,64,0.1,2,True,0.0001,128,25,25,0.19579966366291046,0.038177113980054855
130,64,0.1,2,True,0.001,64,25,25,0.15291906893253326,0.037685494869947433
131,64,0.1,2,True,0.001,128,25,25,0.1431151032447815,0.029820436611771584
132,64,0.1,3,False,1e-05,64,25,25,1.606120228767395,0.05871156230568886
133,64,0.1,3,False,1e-05,128,25,25,1.5857958793640137,0.06061163544654846
134,64,0.1,3,False,0.0001,64,25,25,0.18416805565357208,0.030375152826309204
135,64,0.1,3,False,0.0001,128,25,25,0.18771247565746307,0.036152079701423645
136,64,0.1,3,False,0.001,64,25,25,0.2688051760196686,0.11778362840414047
137,64,0.1,3,False,0.001,128,25,25,0.24145056307315826,0.09198049455881119
138,64,0.1,3,True,1e-05,64,25,25,2.0353827476501465,0.06409651786088943
139,64,0.1,3,True,1e-05,128,25,25,2.0390427112579346,0.06023490056395531
140,64,0.1,3,True,0.0001,64,25,25,0.202935129404068,0.04574676603078842
141,64,0.1,3,True,0.0001,128,25,25,0.18853263556957245,0.03373423591256142
142,64,0.1,3,True,0.001,64,25,25,0.1407441794872284,0.02771618403494358
143,64,0.1,3,True,0.001,128,25,25,0.14062157273292542,0.027343524619936943
144,64,0.2,1,False,1e-05,64,25,25,0.22089557349681854,0.0507003515958786
145,64,0.2,1,False,1e-05,128,25,25,0.27596649527549744,0.08684952557086945
146,64,0.2,1,False,0.0001,64,25,25,0.15629346668720245,0.03408704325556755
147,64,0.2,1,False,0.0001,128,25,25,0.20568899810314178,0.06173895299434662
148,64,0.2,1,False,0.001,64,25,25,0.45674020051956177,0.3976578116416931
149,64,0.2,1,False,0.001,128,25,25,0.457134872674942,0.39699313044548035
150,64,0.2,1,True,1e-05,64,25,25,0.29270508885383606,0.07795517146587372
151,64,0.2,1,True,1e-05,128,25,25,0.26603636145591736,0.05871695652604103
152,64,0.2,1,True,0.0001,64,25,25,0.16952085494995117,0.0388990193605423
153,64,0.2,1,True,0.0001,128,25,25,0.31774455308914185,0.13513347506523132
154,64,0.2,1,True,0.001,64,25,25,0.30362001061439514,0.16321033239364624
155,64,0.2,1,True,0.001,128,25,25,0.3061566650867462,0.16746041178703308
156,64,0.2,2,False,1e-05,64,25,25,0.9816393256187439,0.09235528856515884
157,64,0.2,2,False,1e-05,128,25,25,0.9960157871246338,0.10223590582609177
158,64,0.2,2,False,0.0001,64,25,25,0.2216942459344864,0.061981022357940674
159,64,0.2,2,False,0.0001,128,25,25,0.17144589126110077,0.033630747348070145
160,64,0.2,2,False,0.001,64,25,25,0.2927055358886719,0.14257703721523285
161,64,0.2,2,False,0.001,128,25,25,0.3169037401676178,0.16415829956531525
162,64,0.2,2,True,1e-05,64,25,25,1.3875235319137573,0.062207359820604324
163,64,0.2,2,True,1e-05,128,25,25,1.3757556676864624,0.055361781269311905
164,64,0.2,2,True,0.0001,64,25,25,0.19659215211868286,0.03793685883283615
165,64,0.2,2,True,0.0001,128,25,25,0.22517633438110352,0.05914900824427605
166,64,0.2,2,True,0.001,64,25,25,0.1537935733795166,0.03691493719816208
167,64,0.2,2,True,0.001,128,25,25,0.14317548274993896,0.029960863292217255
168,64,0.2,3,False,1e-05,64,25,25,1.6110420227050781,0.08398667722940445
169,64,0.2,3,False,1e-05,128,25,25,1.5896443128585815,0.05731102451682091
170,64,0.2,3,False,0.0001,64,25,25,0.17263227701187134,0.02974570170044899
171,64,0.2,3,False,0.0001,128,25,25,0.203072652220726,0.04865485057234764
172,64,0.2,3,False,0.001,64,25,25,0.21739161014556885,0.07536935061216354
173,64,0.2,3,False,0.001,128,25,25,0.2411525696516037,0.09066995233297348
174,64,0.2,3,True,1e-05,64,25,25,2.036855697631836,0.06496672332286835
175,64,0.2,3,True,1e-05,128,25,25,2.052910566329956,0.06861857324838638
176,64,0.2,3,True,0.0001,64,25,25,0.21037060022354126,0.048685312271118164
177,64,0.2,3,True,0.0001,128,25,25,0.18570463359355927,0.03404972329735756
178,64,0.2,3,True,0.001,64,25,25,0.14673277735710144,0.029442276805639267
179,64,0.2,3,True,0.001,128,25,25,0.14472077786922455,0.028596002608537674
180,64,0.3,1,False,1e-05,64,25,25,0.268245130777359,0.08397350460290909
181,64,0.3,1,False,1e-05,128,25,25,0.21185828745365143,0.04513069987297058
182,64,0.3,1,False,0.0001,64,25,25,0.2461540848016739,0.0924057811498642
183,64,0.3,1,False,0.0001,128,25,25,0.28633496165275574,0.1165241003036499
184,64,0.3,1,False,0.001,64,25,25,0.4172029197216034,0.32541266083717346
185,64,0.3,1,False,0.001,128,25,25,0.4269086420536041,0.34452664852142334
186,64,0.3,1,True,1e-05,64,25,25,0.29186663031578064,0.08044394105672836
187,64,0.3,1,True,1e-05,128,25,25,0.3305767774581909,0.09926158934831619
188,64,0.3,1,True,0.0001,64,25,25,0.2019171565771103,0.05883420258760452
189,64,0.3,1,True,0.0001,128,25,25,0.17367540299892426,0.041149038821458817
190,64,0.3,1,True,0.001,64,25,25,0.2862030267715454,0.14380039274692535
191,64,0.3,1,True,0.001,128,25,25,0.28582242131233215,0.13966216146945953
192,64,0.3,2,False,1e-05,64,25,25,1.0866429805755615,0.17254146933555603
193,64,0.3,2,False,1e-05,128,25,25,0.9420545101165771,0.07059549540281296
194,64,0.3,2,False,0.0001,64,25,25,0.21864549815654755,0.058307766914367676
195,64,0.3,2,False,0.0001,128,25,25,0.2076539397239685,0.055698614567518234
196,64,0.3,2,False,0.001,64,25,25,0.24709218740463257,0.09984366595745087
197,64,0.3,2,False,0.001,128,25,25,0.2196863740682602,0.08035675436258316
198,64,0.3,2,True,1e-05,64,25,25,1.3851691484451294,0.06472402065992355
199,64,0.3,2,True,1e-05,128,25,25,1.414780855178833,0.08416491746902466
200,64,0.3,2,True,0.0001,64,25,25,0.1861874908208847,0.037602610886096954
201,64,0.3,2,True,0.0001,128,25,25,0.24523979425430298,0.07197581231594086
202,64,0.3,2,True,0.001,64,25,25,0.15375103056430817,0.03705529496073723
203,64,0.3,2,True,0.001,128,25,25,0.15523149073123932,0.03815460205078125
204,64,0.3,3,False,1e-05,64,25,25,1.6186587810516357,0.08947926014661789
205,64,0.3,3,False,1e-05,128,25,25,1.6118160486221313,0.07731796056032181
206,64,0.3,3,False,0.0001,64,25,25,0.1919349879026413,0.03964914754033089
207,64,0.3,3,False,0.0001,128,25,25,0.178913414478302,0.03495776280760765
