cycle_index,True SOC,SOC cell,Pred. SOC
61,0.364870318,0.314109825,0.42273533
61,0.367318595,0.316240239,0.4222023
61,0.375877823,0.323009655,0.41951817
61,0.37098875,0.318345442,0.41718328
61,0.370254885,0.318773973,0.4155199
61,0.375389064,0.323242142,0.41489846
61,0.375144865,0.322677683,0.41493207
61,0.374900492,0.322910045,0.41525513
61,0.374656122,0.322544944,0.4155785
61,0.374411754,0.323275361,0.41574174
61,0.374167388,0.322014275,0.41569662
61,0.373923026,0.32098741,0.41546047
61,0.373678489,0.321186023,0.41509375
61,0.373434131,0.321484065,0.4146616
61,0.37001021,0.318839928,0.41428638
61,0.373189599,0.32098741,0.4140384
61,0.372456019,0.319962274,0.41397506
61,0.372211497,0.320425024,0.41413543
61,0.371966978,0.31986316,0.4145166
61,0.371722461,0.319565913,0.41510123
61,0.371477947,0.31940084,0.4226647
61,0.371233259,0.318938875,0.4221294
61,0.375633442,0.322710872,0.41942137
61,0.370744067,0.31940084,0.41708413
61,0.370499563,0.319797092,0.41542482
61,0.372945246,0.32098741,0.41480285
61,0.372700543,0.320623454,0.41485
61,0.358989562,0.308672222,0.4151759
61,0.364380728,0.313946269,0.41549903
61,0.35751819,0.307345233,0.41566816
61,0.357272941,0.307118991,0.41562665
61,0.357027695,0.306699074,0.41538915
61,0.356782274,0.305731257,0.4149993
61,0.356537033,0.306118179,0.41457716
61,0.356291618,0.306021423,0.41420448
61,0.356046205,0.3058602,0.4139592
61,0.355800971,0.306214952,0.4139059
61,0.355555564,0.306279477,0.41406912
61,0.355310335,0.306279477,0.4144595
61,0.355064933,0.305086997,0.4150414
61,0.354819533,0.30434704,0.4237737
61,0.354573959,0.304990423,0.42337716
61,0.354328564,0.304668636,0.42072034
61,0.354083172,0.304411344,0.41842657
61,0.376122206,0.323441486,0.41681856
61,0.353837605,0.303832883,0.41624454
61,0.353592042,0.30392925,0.41631705
61,0.353346657,0.302966354,0.41665858
61,0.353101099,0.303865003,0.41700125
61,0.352855543,0.303030494,0.41718823
61,0.357763442,0.307312907,0.41716152
61,0.35800852,0.308866682,0.41691875
61,0.358253776,0.308704627,0.41655767
61,0.358499036,0.308639819,0.41615614
61,0.364135761,0.31433888,0.41580188
61,0.363890796,0.31407711,0.41557842
61,0.36364601,0.313619297,0.41553426
61,0.363400874,0.313848158,0.41570628
61,0.363155917,0.312672123,0.41608596
61,0.362910962,0.312345874,0.41664475
61,0.362666186,0.311726512,0.42385012
61,0.36242106,0.311791676,0.4234655
61,0.362176113,0.311400802,0.4208199
61,0.361930992,0.311238017,0.41853082
61,0.364625522,0.31388086,0.41694105
61,0.36168605,0.311303125,0.41637325
61,0.361195821,0.310327283,0.4164476
61,0.36095071,0.310522317,0.4167965
61,0.360705601,0.310294784,0.4171441
61,0.360460496,0.310424792,0.41733122
61,0.360215393,0.309742587,0.4172827
61,0.359970292,0.309353126,0.41705132
61,0.359725194,0.309547823,0.41669378
61,0.359479922,0.308996359,0.4162955
61,0.359234829,0.308801854,0.41595125
61,0.358744297,0.309093637,0.41572967
61,0.361440934,0.311075278,0.41569263
61,0.376366592,0.324605602,0.41585857
61,0.388808883,0.335009965,0.41622633
61,0.376855194,0.32430605,0.41673648
61,0.394653252,0.34034189,0.4238783
61,0.394409737,0.340103285,0.42350596
61,0.394166402,0.339285828,0.4208629
61,0.393923069,0.339149678,0.418589
61,0.393679738,0.339149678,0.4170043
61,0.393436233,0.339081613,0.41643766
61,0.393192731,0.338911479,0.4165188
61,0.392949408,0.337857582,0.4168721
61,0.392705911,0.338061437,0.41721925
61,0.392462416,0.338367332,0.4173839
61,0.392218924,0.338605344,0.41734585
61,0.391975434,0.337959502,0.41711706
61,0.39173177,0.337687749,0.41676205
61,0.391488285,0.33758587,0.41637307
61,0.391244803,0.336703544,0.4160303
61,0.391001147,0.336839213,0.4158156
61,0.39075767,0.33663572,0.4157726
61,0.390514018,0.337653788,0.41592708
61,0.390270369,0.337144565,0.41624686
61,0.3900269,0.336500092,0.41679162
61,0.389783256,0.336771375,0.424747
61,0.394896593,0.340682894,0.4244999
61,0.395139936,0.34061468,0.4219058
61,0.395383282,0.340955817,0.4196685
61,0.39562663,0.34139954,0.418123
61,0.400733455,0.345851965,0.41758853
61,0.400490231,0.345611521,0.41769058
61,0.400247186,0.345062231,0.4180549
61,0.400003967,0.344993599,0.4183892
61,0.352609989,0.30206921,0.41857424
61,0.399760927,0.345405489,0.41855013
61,0.39951789,0.346126854,0.4183365
61,0.399274855,0.34513087,0.41800407
61,0.399031646,0.344993599,0.41762954
61,0.39878844,0.34410197,0.4173051
61,0.389539615,0.3362967,0.4170932
61,0.398545236,0.343690819,0.41704357
61,0.398058835,0.343348371,0.41715008
61,0.397815639,0.343348371,0.41749874
61,0.397572445,0.343040308,0.41803578
61,0.397329253,0.343451089,0.4253436
61,0.397085887,0.343485331,0.42519575
61,0.396842701,0.342869219,0.4226281
61,0.396599517,0.342185271,0.42041337
61,0.396356336,0.342287821,0.41890046
61,0.396113157,0.341775216,0.41838756
61,0.395869804,0.341365398,0.41850013
61,0.398302034,0.343382609,0.41884935
61,0.376610803,0.324439167,0.4192
61,0.389295976,0.335822356,0.41939372
61,0.388565075,0.335856227,0.41937894
61,0.381982155,0.329786943,0.4191823
61,0.381738065,0.328881362,0.41885942
61,0.381494153,0.328613286,0.4184996
61,0.381250068,0.32837881,0.41817582
61,0.381005985,0.32837881,0.41795707
61,0.380762081,0.328043994,0.4178611
61,0.380518003,0.3281779,0.41799963
61,0.380273751,0.328244863,0.4183458
61,0.380029678,0.328512786,0.4188421
61,0.379785608,0.326639677,0.42567337
61,0.37954154,0.326405925,0.4255703
61,0.379297474,0.326773288,0.4230179
61,0.379053412,0.326305772,0.4208207
61,0.378808998,0.32593868,0.4193255
61,0.37856494,0.325905319,0.41882104
61,0.378320708,0.325038542,0.41891655
61,0.378076656,0.324905298,0.41927913
61,0.377832252,0.324505735,0.4196346
61,0.377588028,0.324638895,0.41983294
61,0.377343806,0.324139694,0.41983
61,0.377099411,0.324405885,0.41963768
61,0.382226248,0.330122664,0.4193247
61,0.382470167,0.330156246,0.4189617
61,0.382714089,0.32992121,0.4186285
61,0.38295819,0.330089084,0.4183622
61,0.388321446,0.335822356,0.41829854
61,0.38807782,0.334874661,0.41843694
61,0.387834197,0.334637945,0.4187466
61,0.387590399,0.334401311,0.41924635
61,0.38734678,0.33365815,0.4261026
61,0.387103164,0.332882092,0.42605275
61,0.386859374,0.33261237,0.42352867
61,0.386615586,0.332713503,0.42135078
61,0.386371801,0.333084455,0.41987354
61,0.386128018,0.332713503,0.4193586
61,0.38905234,0.335449889,0.4194711
61,0.385884238,0.332578663,0.41984043
61,0.385396685,0.332106939,0.42020136
61,0.385152913,0.332511253,0.42041206
61,0.384909143,0.332747217,0.420414
61,0.384665375,0.331702871,0.4202326
61,0.384421433,0.331366338,0.41991788
61,0.384177671,0.331231773,0.41954726
61,0.383933734,0.33089548,0.41916847
61,0.383689977,0.3311645,0.41893625
61,0.383446045,0.330525758,0.4188742
61,0.383202116,0.329552041,0.4189774
61,0.385640637,0.332309065,0.4192909
61,0.352364438,0.30194117,0.41979635
61,0.326746651,0.280080188,0.42649835
61,0.351873168,0.302677822,0.42650363
61,0.320068745,0.274511354,0.42400402
61,0.319821243,0.274088168,0.42184007
61,0.319573743,0.273876727,0.42035764
61,0.31932607,0.273997538,0.4198631
61,0.319078399,0.274481113,0.41998398
61,0.318830731,0.27333349,0.42035905
61,0.318583242,0.27315256,0.42073154
61,0.318335579,0.272580109,0.4209459
61,0.318087919,0.272008409,0.42095745
61,0.317840261,0.272339302,0.4207731
61,0.317592606,0.272008409,0.4204501
61,0.317344954,0.271918209,0.42003357
61,0.317097304,0.272158784,0.41968906
61,0.31684948,0.271557598,0.41945934
61,0.316601836,0.271287336,0.4193634
61,0.316354018,0.271107255,0.41947192
61,0.316106378,0.270357728,0.41979286
61,0.315858565,0.270537495,0.4202903
61,0.315610755,0.270687359,0.42691344
61,0.315362771,0.270327774,0.42697367
61,0.315114966,0.269878715,0.42449534
61,0.320316426,0.274632339,0.42232475
61,0.314867163,0.270207979,0.420869
61,0.320563934,0.274178817,0.42038745
61,0.321058957,0.275086327,0.4205166
61,0.326252214,0.278918155,0.42090404
61,0.326005175,0.278948697,0.4212801
61,0.325757963,0.278948697,0.42150334
61,0.325510753,0.278857077,0.42151132
61,0.325263546,0.279254229,0.4213183
61,0.325016518,0.278887615,0.42094928
61,0.324769316,0.278582329,0.4205675
61,0.324521941,0.278521296,0.4202264
61,0.324274744,0.278094298,0.41996408
61,0.32402755,0.278124785,0.41987476
61,0.323780359,0.277759082,0.41999212
61,0.323532993,0.277393676,0.4203064
61,0.323285631,0.277941897,0.42079973
61,0.323038095,0.27727194,0.4273656
61,0.322790914,0.275995699,0.4274817
61,0.322543559,0.276147441,0.42500496
61,0.322296031,0.275601409,0.42286068
61,0.322048681,0.275813676,0.4214257
61,0.321801158,0.275631727,0.42095777
61,0.321553814,0.275844008,0.42110226
61,0.321306296,0.275601409,0.42149436
61,0.320811268,0.274602089,0.42187935
61,0.314619187,0.269759046,0.42209864
61,0.31437139,0.268743207,0.42209756
61,0.314123419,0.268325625,0.4218583
61,0.307423029,0.263523586,0.4215243
61,0.307174603,0.262875731,0.42114663
61,0.306926179,0.262023306,0.4207741
61,0.306677758,0.262610994,0.42051983
61,0.30642934,0.262493389,0.42044088
61,0.306180925,0.262228901,0.42055315
61,0.305932512,0.262111406,0.42086464
61,0.305684278,0.262199524,0.42135185
61,0.305435518,0.261465789,0.42755446
61,0.305187113,0.261436467,0.42767137
61,0.304938711,0.261465789,0.42521375
61,0.304690311,0.260528547,0.42307752
61,0.304441738,0.260704114,0.42165098
61,0.304193167,0.259885456,0.42119506
61,0.303944423,0.260499293,0.42134172
61,0.303696034,0.260323815,0.42174
61,0.303447471,0.259710246,0.4221176
61,0.302701446,0.258718842,0.42232373
61,0.400976505,0.345439824,0.4222717
61,0.303198735,0.259593483,0.42206258
61,0.302950001,0.259360057,0.42172816
61,0.307671281,0.263346797,0.42131528
61,0.307919712,0.263936391,0.42094794
61,0.30816797,0.263995397,0.42070246
61,0.30841623,0.264142949,0.42061847
61,0.313875451,0.268027603,0.42072964
61,0.313627485,0.268087191,0.42103845
61,0.313379522,0.267968024,0.421522
61,0.313131385,0.268146787,0.42778236
61,0.312883427,0.268474714,0.42793918
61,0.312635296,0.267848891,0.42549604
61,0.312387343,0.267313208,0.42336944
61,0.312139217,0.266986181,0.42196047
61,0.311891094,0.266689105,0.42151052
61,0.311643149,0.26639224,0.42166558
61,0.326499431,0.279774103,0.42205766
61,0.311395031,0.266095584,0.4224228
61,0.310898626,0.266243886,0.4225783
61,0.310650516,0.265384472,0.4225567
61,0.310402408,0.265858412,0.42234778
61,0.310154126,0.266006629,0.42197898
61,0.309906024,0.264911072,0.42157227
61,0.309657748,0.264290554,0.42121482
61,0.309409474,0.264851935,0.42096543
61,0.309161203,0.264851935,0.42088133
61,0.308912935,0.264349611,0.4209904
61,0.30866467,0.263670969,0.42129576
61,0.311146915,0.265858412,0.42178643
61,0.326993697,0.280692972,0.4273139
61,0.327240923,0.280509051,0.42741174
61,0.327487974,0.280938314,0.42494273
61,0.345236287,0.297161998,0.42280424
