model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
81,32,0.3,1,True,0.0001,128,25,25,0.5134130716323853,0.29644644260406494
82,32,0.3,1,True,0.001,64,25,25,0.4453512132167816,0.22797554731369019
83,32,0.3,1,True,0.001,128,25,25,0.4828870892524719,0.2640272080898285
84,32,0.3,2,False,1e-05,64,25,25,0.516250729560852,0.10625938326120377
85,32,0.3,2,False,1e-05,128,25,25,0.42378655076026917,0.06897792965173721
86,32,0.3,2,False,0.0001,64,25,25,0.5379921793937683,0.33112314343452454
87,32,0.3,2,False,0.0001,128,25,25,0.48940539360046387,0.26908525824546814
88,32,0.3,2,False,0.001,64,25,25,0.4154394268989563,0.19999372959136963
89,32,0.3,2,False,0.001,128,25,25,0.4298745393753052,0.21607337892055511
90,32,0.3,2,True,1e-05,64,25,25,0.5926893353462219,0.10536590218544006
91,32,0.3,2,True,1e-05,128,25,25,0.5797032117843628,0.09516683965921402
92,32,0.3,2,True,0.0001,64,25,25,0.32091283798217773,0.13149394094944
93,32,0.3,2,True,0.0001,128,25,25,0.31431829929351807,0.12602141499519348
94,32,0.3,2,True,0.001,64,25,25,0.34244105219841003,0.15077222883701324
95,32,0.3,2,True,0.001,128,25,25,0.32404688000679016,0.1388126164674759
96,32,0.3,3,False,1e-05,64,25,25,0.6744962930679321,0.10063222795724869
97,32,0.3,3,False,1e-05,128,25,25,0.6408224105834961,0.08540818095207214
98,32,0.3,3,False,0.0001,64,25,25,0.4486050307750702,0.2272329330444336
99,32,0.3,3,False,0.0001,128,25,25,0.4267149269580841,0.20507784187793732
100,32,0.3,3,False,0.001,64,25,25,0.36389267444610596,0.16060960292816162
101,32,0.3,3,False,0.001,128,25,25,0.432374507188797,0.21601217985153198
102,32,0.3,3,True,1e-05,64,25,25,0.785104513168335,0.10140427947044373
103,32,0.3,3,True,1e-05,128,25,25,0.7635876536369324,0.08653731644153595
104,32,0.3,3,True,0.0001,64,25,25,0.2522481083869934,0.09724397957324982
105,32,0.3,3,True,0.0001,128,25,25,0.25322702527046204,0.09653279185295105
106,32,0.3,3,True,0.001,64,25,25,0.29452064633369446,0.12298008799552917
107,32,0.3,3,True,0.001,128,25,25,0.2860364317893982,0.11686599999666214
108,64,0.1,1,False,1e-05,64,25,25,0.4297732412815094,0.1940755993127823
109,64,0.1,1,False,1e-05,128,25,25,0.36070090532302856,0.1453866809606552
110,64,0.1,1,False,0.0001,64,25,25,0.5198397040367126,0.29886794090270996
111,64,0.1,1,False,0.0001,128,25,25,0.5683162212371826,0.35887375473976135
112,64,0.1,1,False,0.001,64,25,25,0.40877825021743774,0.19016484916210175
113,64,0.1,1,False,0.001,128,25,25,0.4283069670200348,0.2039107233285904
114,64,0.1,1,True,1e-05,64,25,25,0.3428371250629425,0.15940070152282715
115,64,0.1,1,True,1e-05,128,25,25,0.33217567205429077,0.16513608396053314
116,64,0.1,1,True,0.0001,64,25,25,0.2803882956504822,0.13304369151592255
117,64,0.1,1,True,0.0001,128,25,25,0.29010871052742004,0.14024688303470612
118,64,0.1,1,True,0.001,64,25,25,0.5485084652900696,0.34464937448501587
119,64,0.1,1,True,0.001,128,25,25,0.35011181235313416,0.1538245677947998
120,64,0.1,2,False,1e-05,64,25,25,0.6096131801605225,0.14015305042266846
121,64,0.1,2,False,1e-05,128,25,25,0.5372079610824585,0.1093054786324501
122,64,0.1,2,False,0.0001,64,25,25,0.5180679559707642,0.3144582509994507
123,64,0.1,2,False,0.0001,128,25,25,0.6070886850357056,0.442421555519104
124,64,0.1,2,False,0.001,64,25,25,0.39166349172592163,0.1872006505727768
125,64,0.1,2,False,0.001,128,25,25,0.3821139633655548,0.17942310869693756
126,64,0.1,2,True,1e-05,64,25,25,0.7257312536239624,0.14998680353164673
127,64,0.1,2,True,1e-05,128,25,25,0.6871138215065002,0.12841618061065674
128,64,0.1,2,True,0.0001,64,25,25,0.22942379117012024,0.0911039486527443
129,64,0.1,2,True,0.0001,128,25,25,0.2840769290924072,0.11259724944829941
130,64,0.1,2,True,0.001,64,25,25,0.31705886125564575,0.13502219319343567
131,64,0.1,2,True,0.001,128,25,25,0.3299270272254944,0.14436613023281097
132,64,0.1,3,False,1e-05,64,25,25,0.8089014887809753,0.1296166330575943
133,64,0.1,3,False,1e-05,128,25,25,0.804593563079834,0.13156752288341522
134,64,0.1,3,False,0.0001,64,25,25,0.5555862784385681,0.36568936705589294
135,64,0.1,3,False,0.0001,128,25,25,0.5105668306350708,0.30214810371398926
136,64,0.1,3,False,0.001,64,25,25,0.44928956031799316,0.23314090073108673
137,64,0.1,3,False,0.001,128,25,25,0.46948087215423584,0.2511821985244751
138,64,0.1,3,True,1e-05,64,25,25,0.8414270281791687,0.09914663434028625
139,64,0.1,3,True,1e-05,128,25,25,0.8482211828231812,0.11026264727115631
140,64,0.1,3,True,0.0001,64,25,25,0.21048277616500854,0.08032086491584778
141,64,0.1,3,True,0.0001,128,25,25,0.2118498831987381,0.08081644028425217
142,64,0.1,3,True,0.001,64,25,25,0.32311275601387024,0.14096413552761078
143,64,0.1,3,True,0.001,128,25,25,0.31683844327926636,0.13710245490074158
144,64,0.2,1,False,1e-05,64,25,25,0.34599769115448,0.14539465308189392
145,64,0.2,1,False,1e-05,128,25,25,0.30411767959594727,0.13073471188545227
146,64,0.2,1,False,0.0001,64,25,25,0.5541375875473022,0.3483469486236572
147,64,0.2,1,False,0.0001,128,25,25,0.5366986393928528,0.32789257168769836
148,64,0.2,1,False,0.001,64,25,25,0.4998263716697693,0.2719753086566925
149,64,0.2,1,False,0.001,128,25,25,0.44177666306495667,0.21575666964054108
150,64,0.2,1,True,1e-05,64,25,25,0.24449053406715393,0.0753955990076065
151,64,0.2,1,True,1e-05,128,25,25,0.28342172503471375,0.1063973605632782
152,64,0.2,1,True,0.0001,64,25,25,0.38373079895973206,0.19540691375732422
153,64,0.2,1,True,0.0001,128,25,25,0.4353545308113098,0.2267731875181198
154,64,0.2,1,True,0.001,64,25,25,0.3880872130393982,0.1794799417257309
155,64,0.2,1,True,0.001,128,25,25,0.3536841869354248,0.15899421274662018
156,64,0.2,2,False,1e-05,64,25,25,0.5567029118537903,0.12734457850456238
157,64,0.2,2,False,1e-05,128,25,25,0.6007261872291565,0.13560685515403748
158,64,0.2,2,False,0.0001,64,25,25,0.595844030380249,0.4310833811759949
159,64,0.2,2,False,0.0001,128,25,25,0.5380986928939819,0.3416876792907715
160,64,0.2,2,False,0.001,64,25,25,0.41296258568763733,0.20132698118686676
161,64,0.2,2,False,0.001,128,25,25,0.410248339176178,0.19913822412490845
162,64,0.2,2,True,1e-05,64,25,25,0.6492277979850769,0.11344092339277267
163,64,0.2,2,True,1e-05,128,25,25,0.6777063608169556,0.12513330578804016
164,64,0.2,2,True,0.0001,64,25,25,0.25338900089263916,0.09664741903543472
165,64,0.2,2,True,0.0001,128,25,25,0.2973971664905548,0.11676088720560074
166,64,0.2,2,True,0.001,64,25,25,0.33546772599220276,0.1485002040863037
167,64,0.2,2,True,0.001,128,25,25,0.32778260111808777,0.14282527565956116
