数据点索引,预测SOC,真实SOC
0,0.23150572,0.13313296
1,0.23189142,0.13345295
2,0.23215654,0.13377294
3,0.23235255,0.13409294
4,0.23250109,0.13441291
5,0.23261553,0.13473292
6,0.23268847,0.13505277
7,0.2327596,0.13537268
8,0.23298839,0.1356927
9,0.23313288,0.1360127
10,0.23324636,0.13633256
11,0.23330101,0.13665262
12,0.23334137,0.1369725
13,0.23336041,0.13729258
14,0.23337543,0.1376126
15,0.23337322,0.13793263
16,0.2333778,0.13825259
17,0.23338953,0.13857274
18,0.23338823,0.13889278
19,0.23339626,0.13921289
20,0.2334069,0.13953301
21,0.23341653,0.1398531
22,0.23341674,0.14017315
23,0.23344763,0.14049312
24,0.23346126,0.14081325
25,0.23346925,0.14113326
26,0.23347329,0.14145322
27,0.23347682,0.14177324
28,0.2334635,0.14209327
29,0.23347381,0.14241336
30,0.23347637,0.14273334
31,0.23348278,0.14305332
32,0.23347475,0.14337344
33,0.23347518,0.14369354
34,0.23346724,0.14401361
35,0.23347133,0.14433369
36,0.23345922,0.1446538
37,0.23346175,0.14497392
38,0.23347743,0.14529414
39,0.23349798,0.14561427
40,0.23352084,0.1459343
41,0.23355715,0.14625448
42,0.23357251,0.14657448
43,0.23356079,0.1468946
44,0.23357505,0.14721462
45,0.23359449,0.14753467
46,0.23362704,0.1478548
47,0.23366085,0.14817487
48,0.23369199,0.14849488
49,0.2337378,0.14881495
50,0.23378906,0.14913486
51,0.23382841,0.1494548
52,0.23386507,0.14977473
53,0.23390928,0.15009464
54,0.23395702,0.1504145
55,0.23400643,0.1507343
56,0.23406023,0.15105414
57,0.2341253,0.15137395
58,0.23415563,0.15169372
59,0.23421152,0.15201345
60,0.23424917,0.15233323
61,0.23428893,0.15265296
62,0.23434508,0.15297264
63,0.23439431,0.15329236
64,0.23444253,0.15361205
65,0.23451044,0.15393168
66,0.2345713,0.1542514
67,0.23463447,0.1545709
68,0.23470674,0.15489051
69,0.23478144,0.15521012
70,0.2348596,0.15552953
71,0.234905,0.15584907
72,0.2349605,0.15616855
73,0.23502281,0.156488
74,0.23507242,0.15680748
75,0.2351121,0.15712684
76,0.23517372,0.15744627
77,0.23521192,0.1577657
78,0.23526293,0.15808514
79,0.23532376,0.15840454
80,0.23538823,0.15872395
81,0.2354388,0.1590434
82,0.23549882,0.15936284
83,0.235564,0.15968223
84,0.23560995,0.1600016
85,0.2357012,0.16032094
86,0.23578133,0.16064031
87,0.2358514,0.16095959
88,0.2359536,0.1612788
89,0.23603764,0.1615981
90,0.23609754,0.16191728
91,0.23615572,0.16223647
92,0.23624533,0.1625557
93,0.2363255,0.16287488
94,0.23637763,0.16319397
95,0.23644936,0.16351317
96,0.2365084,0.16383219
97,0.23657873,0.16415124
98,0.23665257,0.16447024
99,0.23673642,0.16478923
100,0.23680782,0.16510828
101,0.23690736,0.16542742
102,0.2369776,0.16574639
103,0.23707345,0.16606529
104,0.23718257,0.16638435
105,0.23728092,0.16670321
106,0.2374115,0.1670222
107,0.23750842,0.16734105
108,0.2375831,0.16765995
109,0.23768392,0.16797876
110,0.23773965,0.16829777
111,0.23780972,0.16861656
112,0.23789614,0.16893548
113,0.23794241,0.16925423
114,0.23804574,0.16957305
115,0.23813151,0.1698919
116,0.23818794,0.17021072
117,0.23827024,0.17052956
118,0.2383556,0.17084828
119,0.23850632,0.171167
120,0.23861098,0.17148586
121,0.23872086,0.17180455
122,0.23881386,0.17212321
123,0.23892057,0.17244183
124,0.23903313,0.17276049
125,0.23911232,0.1730792
126,0.23918204,0.17339781
127,0.23927549,0.17371652
128,0.2393874,0.17403513
129,0.23951176,0.17435373
130,0.23970333,0.1746723
131,0.23982954,0.17499092
132,0.23998742,0.17530946
133,0.24013077,0.1756279
134,0.24026722,0.17594641
135,0.24045312,0.17626478
136,0.24062783,0.176583
137,0.24081066,0.17690107
138,0.24093911,0.17721899
139,0.2411262,0.17753696
140,0.24127163,0.17785493
141,0.24142335,0.17817263
142,0.24154289,0.17849052
143,0.24171029,0.1788083
144,0.24184982,0.17912611
145,0.24199854,0.17944378
146,0.24215104,0.17976148
147,0.24228913,0.18007933
148,0.2424716,0.18039708
149,0.2426702,0.18071485
150,0.24286242,0.18103263
151,0.24301924,0.18135023
152,0.24320291,0.18166786
153,0.24337308,0.1819856
154,0.24356751,0.18230316
155,0.24372503,0.18262082
156,0.24382989,0.18293835
157,0.24397972,0.18325609
158,0.2440925,0.18357363
159,0.24426259,0.18389119
160,0.24446781,0.18420874
161,0.24462208,0.18452626
162,0.24486184,0.18484367
163,0.2450016,0.18516098
164,0.24517271,0.18547843
165,0.24536674,0.18579587
166,0.24559116,0.18611321
167,0.24574444,0.18643044
168,0.24593064,0.18674785
169,0.24617837,0.18706517
170,0.24643143,0.18738244
171,0.24667725,0.18769972
172,0.2469966,0.18801689
173,0.24721028,0.18833406
174,0.24739224,0.18865117
175,0.24761263,0.18896826
176,0.24781266,0.18928544
177,0.24804106,0.18960251
178,0.24822398,0.18991952
179,0.24844186,0.1902366
180,0.24866763,0.1905536
181,0.24883345,0.19087057
182,0.24912417,0.19118764
