数据点索引,预测SOC,真实SOC
0,0.8038381,0.8334926
1,0.8033188,0.8331981
2,0.8029394,0.83290356
3,0.80255216,0.83260906
4,0.802148,0.83231455
5,0.8018071,0.83202
6,0.8014676,0.8317255
7,0.80105495,0.8314309
8,0.80062294,0.8311363
9,0.80031407,0.8308417
10,0.80005485,0.83054703
11,0.7997928,0.8302524
12,0.799553,0.8299577
13,0.7993017,0.82966304
14,0.79893976,0.8293683
15,0.79877657,0.82907355
16,0.7984304,0.82877856
17,0.79814667,0.8284837
18,0.7978699,0.8281887
19,0.79768246,0.82789373
20,0.7974229,0.8275987
21,0.7971896,0.82730365
22,0.7970335,0.82700866
23,0.79682964,0.8267137
24,0.7966192,0.8264186
25,0.79655415,0.8261234
26,0.79633933,0.8258282
27,0.7961618,0.82553303
28,0.7959066,0.82523775
29,0.79572207,0.8249426
30,0.7954745,0.8246473
31,0.79531986,0.824352
32,0.79518586,0.8240567
33,0.7950675,0.82376134
34,0.7950179,0.82346606
35,0.7949751,0.82317066
36,0.7948815,0.8228753
37,0.79488784,0.82257986
38,0.7947849,0.82228446
39,0.79467064,0.8219892
40,0.79452795,0.8216938
41,0.7944998,0.8213983
42,0.7944347,0.8211028
43,0.79438585,0.8208074
44,0.7942795,0.8205119
45,0.7941839,0.8202164
46,0.7940579,0.8199209
47,0.7939657,0.8196254
48,0.79379994,0.81933
49,0.7936939,0.81903446
50,0.7935192,0.8187389
51,0.79334277,0.81844324
52,0.7931962,0.81814754
53,0.79300636,0.81785196
54,0.7929105,0.8175563
55,0.7928718,0.8172606
56,0.7927969,0.8169649
57,0.7927105,0.8166693
58,0.7925536,0.8163736
59,0.7924215,0.8160778
60,0.79235977,0.815782
61,0.79221475,0.81548625
62,0.7921249,0.8151905
63,0.79200476,0.8148946
64,0.7918008,0.81459886
65,0.7916448,0.814303
66,0.7914502,0.81400716
67,0.79133886,0.8137113
68,0.79109937,0.8134154
69,0.7909393,0.8131194
70,0.790786,0.81282353
71,0.79061604,0.81252766
72,0.79050916,0.81223166
73,0.79048365,0.81193566
74,0.7903254,0.81163955
75,0.7901468,0.81134355
76,0.7900207,0.81104743
77,0.789872,0.8107514
78,0.7898319,0.8104554
79,0.7896348,0.81015927
80,0.78960854,0.8098631
81,0.7894544,0.809567
82,0.78919715,0.80927086
83,0.78893477,0.8089746
84,0.7887598,0.8086784
85,0.7885738,0.80838215
86,0.7884217,0.8080859
87,0.7881002,0.80778956
88,0.7879309,0.8074932
89,0.7877054,0.8071967
90,0.7876114,0.8069004
91,0.78732705,0.8066039
92,0.7871718,0.8063074
93,0.78688645,0.8060109
94,0.7867407,0.8057144
95,0.7865388,0.8054179
96,0.78626233,0.8051213
