数据点索引,预测SOC,真实SOC
0,0.7887306,0.805463
1,0.7882591,0.8051624
2,0.7877785,0.80486166
3,0.7873995,0.8045611
4,0.78693134,0.8042604
5,0.78652835,0.8039597
6,0.78612846,0.803659
7,0.785771,0.8033582
8,0.7851986,0.8030574
9,0.78488916,0.80275667
10,0.78457683,0.8024557
11,0.7843357,0.802155
12,0.7840224,0.8018542
13,0.783731,0.8015532
14,0.78334886,0.8012523
15,0.782963,0.8009511
16,0.78263,0.80065
17,0.782244,0.8003489
18,0.78172004,0.8000477
19,0.78134626,0.7997464
20,0.78097045,0.7994451
21,0.7808202,0.79914385
22,0.7806664,0.7988425
23,0.7805269,0.79854107
24,0.7803742,0.79823965
25,0.7801668,0.7979382
26,0.7800029,0.7976367
27,0.7798337,0.7973352
28,0.7795618,0.7970337
29,0.77934617,0.7967323
30,0.7791612,0.79643077
31,0.77898914,0.7961293
32,0.77892274,0.7958277
33,0.778809,0.795526
34,0.77882165,0.79522455
35,0.7786961,0.79492295
36,0.7785061,0.79462135
37,0.77862895,0.79431975
38,0.77857494,0.7940182
39,0.7785688,0.7937165
40,0.77852935,0.79341495
41,0.7784964,0.7931134
42,0.7784354,0.7928118
43,0.77836347,0.7925103
44,0.7782884,0.7922086
45,0.7782255,0.791907
46,0.7780723,0.79160535
47,0.7778381,0.79130363
48,0.77772003,0.7910019
49,0.777571,0.7907002
50,0.7774014,0.7903985
51,0.7772856,0.7900967
52,0.77706736,0.7897949
53,0.7769352,0.78949314
54,0.7767314,0.7891913
55,0.77658767,0.7888894
56,0.77658045,0.78858757
57,0.77636826,0.7882856
58,0.77631694,0.7879838
59,0.77611464,0.78768194
60,0.77602243,0.7873799
61,0.77589256,0.78707796
62,0.7757609,0.78677607
63,0.77567995,0.78647405
64,0.7755893,0.7861721
65,0.77539974,0.7858701
66,0.775251,0.78556806
67,0.7750488,0.78526586
68,0.7749858,0.7849637
69,0.77490467,0.78466165
70,0.77473015,0.78435963
71,0.7745383,0.7840575
72,0.7744263,0.78375524
73,0.7742385,0.78345305
74,0.77400166,0.7831509
75,0.773743,0.78284866
76,0.77355987,0.7825464
77,0.77338284,0.782244
